source_table,column,classification,allowed_purchase_model,allowed_quantity_model,allowed_optimizer,available_at_decision_time,leakage_risk,privacy_risk,reason,notes
Cart_Events,Channel,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Cart_Events,DeviceType,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Competitor_Price,CompetitorPriceID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Competitor_Price,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Competitor_Price,RegionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Competitor_Price,CompetitorName,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Competitor_Price,CompetitorPrice,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Competitor_Price,AvailabilityFlag,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Competitor_Price,ObservedDateTime,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Competitor_Price,Channel,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Customer,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,MEDIUM,Join key only; not an unrestricted raw model feature,
Customer,FirstName,PROHIBITED_PRIVACY_OR_IRRELEVANT,False,False,False,True,HIGH,HIGH,Direct personal or free-text attribute is unnecessary for pricing,
Customer,LastName,PROHIBITED_PRIVACY_OR_IRRELEVANT,False,False,False,True,HIGH,HIGH,Direct personal or free-text attribute is unnecessary for pricing,
Customer,Gender,PROHIBITED_PRIVACY_OR_IRRELEVANT,False,False,False,True,HIGH,HIGH,Direct personal or free-text attribute is unnecessary for pricing,
Customer,BirthDate,PROHIBITED_PRIVACY_OR_IRRELEVANT,False,False,False,True,HIGH,HIGH,Direct personal or free-text attribute is unnecessary for pricing,
Customer,Email,PROHIBITED_PRIVACY_OR_IRRELEVANT,False,False,False,True,HIGH,HIGH,Direct personal or free-text attribute is unnecessary for pricing,
Customer,RegionID,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer,LoyaltyTier,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer,CreatedDate,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,MEDIUM,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Customer,CustomerSegment,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer,PreferredChannel,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer,CustomerStatus,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer_Preferences,PreferenceID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,MEDIUM,Join key only; not an unrestricted raw model feature,
Customer_Preferences,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,MEDIUM,Join key only; not an unrestricted raw model feature,
Customer_Preferences,FavoriteCategoryID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,MEDIUM,Join key only; not an unrestricted raw model feature,
Customer_Preferences,FavoriteBrandID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,MEDIUM,Join key only; not an unrestricted raw model feature,
Customer_Preferences,PriceSensitivity,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer_Preferences,ColorPreference,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,MEDIUM,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Customer_Preferences,CategoryAffinityScore,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Customer_Preferences,BrandAffinityScore,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,MEDIUM,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Holiday,HolidayID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Holiday,RegionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Holiday,Date,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Holiday,HolidayName,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Holiday,HolidayType,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Holiday,SalesImpactFactor,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Inventory,InventoryID,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,StoreID,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,ProductID,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,SnapshotDate,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,OpeningQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,ReceivedQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,SoldQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,ReturnedQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,AdjustmentQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,ReservedQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,OnHandQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,AvailableQty,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Inventory,StockStatus,PROHIBITED_HISTORICAL_FEATURE,False,False,True,True,HIGH,LOW,Snapshot inventory is optimizer-only and cannot be back/forward-filled,Current-state optimizer use only
Pricing_Decision_Log,PricingDecisionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Pricing_Decision_Log,DecisionTime,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Pricing_Decision_Log,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Pricing_Decision_Log,SessionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Pricing_Decision_Log,ProductID,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,LOW,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Pricing_Decision_Log,StoreID,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,LOW,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Pricing_Decision_Log,Channel,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Pricing_Decision_Log,CurrentPrice,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Pricing_Decision_Log,RecommendedPrice,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,AppliedPrice,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Pricing_Decision_Log,ExpectedDemand,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,PurchaseProbability,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,PriceElasticity,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,ExpectedRevenue,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,ExpectedMarginPct,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,PricingRuleID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Pricing_Decision_Log,ModelVersion,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,ReasonCode,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Pricing_Decision_Log,PurchasedFlag,TARGET,TARGET,False,False,False,HIGH,LOW,Locked model target; never an inference-time predictor,
Pricing_Decision_Log,OrderLineID,PROHIBITED_POST_OUTCOME,False,False,False,False,HIGH,LOW,Observed only after the pricing decision outcome,
Pricing_Decision_Log,QuantityPurchased,TARGET,False,TARGET,False,False,HIGH,LOW,Locked model target; never an inference-time predictor,
Pricing_Decision_Log,ActualRevenue,PROHIBITED_POST_OUTCOME,False,False,False,False,HIGH,LOW,Observed only after the pricing decision outcome,
Pricing_Decision_Log,OutcomeTime,PROHIBITED_POST_OUTCOME,False,False,False,False,HIGH,LOW,Observed only after the pricing decision outcome,
Pricing_Rules,PricingRuleID,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,RuleName,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,ProductID,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,CategoryID,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,StoreID,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,Channel,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,MinPrice,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,MaxPrice,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,MinMarginPct,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,MaxDiscountPct,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,MaxPriceChangePct,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,Priority,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,EffectiveFrom,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,EffectiveTo,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Pricing_Rules,ActiveFlag,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Product,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product,SKU,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,LOW,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Product,ProductName,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,LOW,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Product,CategoryID,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,LOW,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Product,BrandID,CONDITIONAL_PRE_DECISION,True,True,True,True,MEDIUM,LOW,"Explicit conditional allowlist; requires coverage, sparsity, fairness, or proxy approval",
Product,BasePrice,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product,CostPrice,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Product,MarginPct,OPTIMIZATION_ONLY,False,False,True,True,LOW,LOW,"Commercial cost/rule input belongs to the optimizer, not either ML model",
Product,Season,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product,Color,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product,Size,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product,ActiveFlag,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product_Category,CategoryID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product_Category,ParentCategoryID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product_Category,CategoryName,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,LOW,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Product_Category,CategoryLevel,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product_Category,DepartmentName,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Product_Price_History,PriceHistoryID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product_Price_History,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product_Price_History,StoreID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product_Price_History,Channel,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Product_Price_History,BasePrice,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Product_Price_History,SellingPrice,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Product_Price_History,DiscountPct,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Product_Price_History,PromotionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Product_Price_History,EffectiveFrom,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Product_Price_History,EffectiveTo,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Product_Price_History,PriceReason,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Promotions,PromotionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Promotions,PromotionName,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Promotions,CategoryID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Promotions,DiscountPct,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Promotions,Season,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Promotions,StartDate,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Promotions,EndDate,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Promotions,ActiveFlag,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Ratings,RatingID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Ratings,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Ratings,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Ratings,Rating,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Ratings,RatingDate,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Ratings,ReviewText,PROHIBITED_PRIVACY_OR_IRRELEVANT,False,False,False,True,HIGH,HIGH,Direct personal or free-text attribute is unnecessary for pricing,
Ratings,VerifiedPurchaseFlag,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Recommendation_Log,RecommendationID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Log,RecommendationBatchID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Log,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Log,ProductID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Log,Score,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Recommendation_Log,ServedTime,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,Recommendation-system field is not an approved pricing-model input,
Recommendation_Log,SessionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Log,Channel,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,Recommendation-system field is not an approved pricing-model input,
Recommendation_Log,RankPosition,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Recommendation_Log,RecommendationStrategy,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Recommendation_Log,ModelVersion,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Recommendation_Log,InventoryAvailable,PROHIBITED_SYNTHETIC_POLICY_OUTPUT,False,False,False,True,HIGH,LOW,"Synthetic model, ranking, inventory-policy, or optimizer output",
Recommendation_Log,PromotionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Response,ResponseID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Response,RecommendationID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Recommendation_Response,Clicked,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Recommendation_Response,AddedToCart,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Recommendation_Response,Purchased,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Recommendation_Response,ResponseTime,DERIVATION_ONLY,False,False,False,True,MEDIUM,LOW,Raw event/outcome is allowed only through leakage-safe historical aggregation,Raw values must not be fed to ML
Recommendation_Response,OrderID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Region,RegionID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Region,RegionName,PROHIBITED_UNREVIEWED,False,False,False,True,HIGH,LOW,Deny-by-default: column is not on the explicit Phase 2 raw-feature allowlist,
Region,State,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Region,ClimateZone,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Region,TimeZone,ALLOWED_PRE_DECISION,True,True,True,True,LOW,LOW,Explicit raw-feature allowlist; still subject to point-in-time validation,
Sales_Order,OrderID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
Sales_Order,CustomerID,JOIN_ONLY_IDENTIFIER,False,False,False,True,LOW,LOW,Join key only; not an unrestricted raw model feature,
