source_table,source_column,month,row_count
Pricing_Decision_Log,OutcomeTime,2025-06,2857
Pricing_Decision_Log,OutcomeTime,2025-07,2940
Pricing_Decision_Log,OutcomeTime,2025-08,2903
Pricing_Decision_Log,OutcomeTime,2025-09,2864
Pricing_Decision_Log,OutcomeTime,2025-10,2989
Pricing_Decision_Log,OutcomeTime,2025-11,3078
Pricing_Decision_Log,OutcomeTime,2025-12,3590
Pricing_Decision_Log,OutcomeTime,2026-01,482
Product_Price_History,EffectiveFrom,2025-01,14700
Product_Price_History,EffectiveFrom,2025-04,5900
Product_Price_History,EffectiveFrom,2025-05,8800
Product_Price_History,EffectiveFrom,2025-07,5900
Product_Price_History,EffectiveFrom,2025-09,8800
Product_Price_History,EffectiveFrom,2025-10,5900
Product_Price_History,EffectiveTo,2025-04,5900
Product_Price_History,EffectiveTo,2025-05,8800
Product_Price_History,EffectiveTo,2025-07,5900
Product_Price_History,EffectiveTo,2025-09,8800
Product_Price_History,EffectiveTo,2025-10,5900
Promotions,StartDate,2025-01,10
Promotions,StartDate,2025-02,11
Promotions,StartDate,2025-03,26
Promotions,StartDate,2025-04,18
Promotions,StartDate,2025-05,21
Promotions,StartDate,2025-06,10
Promotions,StartDate,2025-07,16
Promotions,StartDate,2025-08,29
Promotions,StartDate,2025-09,16
Promotions,StartDate,2025-10,13
Promotions,StartDate,2025-11,18
Promotions,StartDate,2025-12,12
Promotions,EndDate,2025-01,7
Promotions,EndDate,2025-02,8
Promotions,EndDate,2025-03,14
Promotions,EndDate,2025-04,21
Promotions,EndDate,2025-05,22
Promotions,EndDate,2025-06,17
Promotions,EndDate,2025-07,13
Promotions,EndDate,2025-08,21
Promotions,EndDate,2025-09,24
Promotions,EndDate,2025-10,12
Promotions,EndDate,2025-11,12
Promotions,EndDate,2025-12,29
Ratings,RatingDate,2025-01,319
Ratings,RatingDate,2025-02,760
Ratings,RatingDate,2025-03,933
Ratings,RatingDate,2025-04,917
Ratings,RatingDate,2025-05,679
Ratings,RatingDate,2025-06,197
Ratings,RatingDate,2025-07,180
Ratings,RatingDate,2025-08,168
Ratings,RatingDate,2025-09,151
Ratings,RatingDate,2025-10,149
Ratings,RatingDate,2025-11,175
Ratings,RatingDate,2025-12,372
Recommendation_Log,ServedTime,2025-01,2390
Recommendation_Log,ServedTime,2025-02,2200
Recommendation_Log,ServedTime,2025-03,1955
Recommendation_Log,ServedTime,2025-04,2255
Recommendation_Log,ServedTime,2025-05,2050
Recommendation_Log,ServedTime,2025-06,1850
Recommendation_Log,ServedTime,2025-07,2055
Recommendation_Log,ServedTime,2025-08,1950
Recommendation_Log,ServedTime,2025-09,1995
Recommendation_Log,ServedTime,2025-10,1990
Recommendation_Log,ServedTime,2025-11,1910
Recommendation_Log,ServedTime,2025-12,2400
Recommendation_Response,ResponseTime,2025-01,367
Recommendation_Response,ResponseTime,2025-02,321
Recommendation_Response,ResponseTime,2025-03,292
Recommendation_Response,ResponseTime,2025-04,347
Recommendation_Response,ResponseTime,2025-05,271
Recommendation_Response,ResponseTime,2025-06,221
Recommendation_Response,ResponseTime,2025-07,216
Recommendation_Response,ResponseTime,2025-08,272
Recommendation_Response,ResponseTime,2025-09,275
Recommendation_Response,ResponseTime,2025-10,264
Recommendation_Response,ResponseTime,2025-11,227
Recommendation_Response,ResponseTime,2025-12,283
Sales_Order,OrderDate,2025-01,1880
Sales_Order,OrderDate,2025-02,1766
Sales_Order,OrderDate,2025-03,1935
Sales_Order,OrderDate,2025-04,1955
Sales_Order,OrderDate,2025-05,550
Sales_Order,OrderDate,2025-06,488
Sales_Order,OrderDate,2025-07,563
Sales_Order,OrderDate,2025-08,546
Sales_Order,OrderDate,2025-09,488
Sales_Order,OrderDate,2025-10,519
Sales_Order,OrderDate,2025-11,553
Sales_Order,OrderDate,2025-12,757
Search_Events,EventTime,2025-01,948
Search_Events,EventTime,2025-02,898
Search_Events,EventTime,2025-03,946
Search_Events,EventTime,2025-04,916
Search_Events,EventTime,2025-05,948
Search_Events,EventTime,2025-06,988
Search_Events,EventTime,2025-07,1001
Search_Events,EventTime,2025-08,1020
Search_Events,EventTime,2025-09,962
Search_Events,EventTime,2025-10,1010
Search_Events,EventTime,2025-11,1128
Search_Events,EventTime,2025-12,1235
Weather,Date,2025-01,310
Weather,Date,2025-02,280
Weather,Date,2025-03,310
Weather,Date,2025-04,300
Weather,Date,2025-05,310
Weather,Date,2025-06,300
Weather,Date,2025-07,310
Weather,Date,2025-08,310
Weather,Date,2025-09,300
Weather,Date,2025-10,310
Weather,Date,2025-11,300
Weather,Date,2025-12,310
Wishlist,AddedDate,2025-01,380
Wishlist,AddedDate,2025-02,368
Wishlist,AddedDate,2025-03,371
Wishlist,AddedDate,2025-04,382
Wishlist,AddedDate,2025-05,431
Wishlist,AddedDate,2025-06,389
Wishlist,AddedDate,2025-07,413
Wishlist,AddedDate,2025-08,420
Wishlist,AddedDate,2025-09,421
Wishlist,AddedDate,2025-10,423
Wishlist,AddedDate,2025-11,481
Wishlist,AddedDate,2025-12,521
Wishlist,RemovedDate,2025-01,63
Wishlist,RemovedDate,2025-02,98
Wishlist,RemovedDate,2025-03,155
Wishlist,RemovedDate,2025-04,158
Wishlist,RemovedDate,2025-05,166
Wishlist,RemovedDate,2025-06,178
Wishlist,RemovedDate,2025-07,182
Wishlist,RemovedDate,2025-08,182
Wishlist,RemovedDate,2025-09,161
Wishlist,RemovedDate,2025-10,203
Wishlist,RemovedDate,2025-11,157
Wishlist,RemovedDate,2025-12,326
Customer,CreatedDate,2018-01,59
Customer,CreatedDate,2018-02,51
Customer,CreatedDate,2018-03,45
Customer,CreatedDate,2018-04,43
Customer,CreatedDate,2018-05,57
Customer,CreatedDate,2018-06,49
Customer,CreatedDate,2018-07,48
Customer,CreatedDate,2018-08,60
Customer,CreatedDate,2018-09,55
Customer,CreatedDate,2018-10,53
Customer,CreatedDate,2018-11,37
Customer,CreatedDate,2018-12,60
Customer,CreatedDate,2019-01,47
Customer,CreatedDate,2019-02,40
Customer,CreatedDate,2019-03,53
Customer,CreatedDate,2019-04,57
Customer,CreatedDate,2019-05,65
Customer,CreatedDate,2019-06,58
Customer,CreatedDate,2019-07,57
Customer,CreatedDate,2019-08,57
Customer,CreatedDate,2019-09,47
Customer,CreatedDate,2019-10,40
Customer,CreatedDate,2019-11,54
Customer,CreatedDate,2019-12,44
Customer,CreatedDate,2020-01,59
Customer,CreatedDate,2020-02,46
Customer,CreatedDate,2020-03,53
Customer,CreatedDate,2020-04,49
Customer,CreatedDate,2020-05,50
Customer,CreatedDate,2020-06,53
Customer,CreatedDate,2020-07,50
Customer,CreatedDate,2020-08,70
Customer,CreatedDate,2020-09,45
Customer,CreatedDate,2020-10,57
Customer,CreatedDate,2020-11,64
Customer,CreatedDate,2020-12,55
Customer,CreatedDate,2021-01,50
Customer,CreatedDate,2021-02,41
Customer,CreatedDate,2021-03,49
Customer,CreatedDate,2021-04,50
Customer,CreatedDate,2021-05,48
Customer,CreatedDate,2021-06,43
Customer,CreatedDate,2021-07,54
Customer,CreatedDate,2021-08,58
Customer,CreatedDate,2021-09,42
Customer,CreatedDate,2021-10,48
Customer,CreatedDate,2021-11,51
Customer,CreatedDate,2021-12,65
Customer,CreatedDate,2022-01,40
Customer,CreatedDate,2022-02,35
Customer,CreatedDate,2022-03,58
Customer,CreatedDate,2022-04,56
Customer,CreatedDate,2022-05,57
Customer,CreatedDate,2022-06,58
Customer,CreatedDate,2022-07,58
Customer,CreatedDate,2022-08,55
Customer,CreatedDate,2022-09,45
Customer,CreatedDate,2022-10,48
Customer,CreatedDate,2022-11,50
Customer,CreatedDate,2022-12,52
Customer,CreatedDate,2023-01,53
Customer,CreatedDate,2023-02,50
Customer,CreatedDate,2023-03,47
Customer,CreatedDate,2023-04,62
Customer,CreatedDate,2023-05,51
Customer,CreatedDate,2023-06,49
Customer,CreatedDate,2023-07,55
Customer,CreatedDate,2023-08,48
Customer,CreatedDate,2023-09,54
Customer,CreatedDate,2023-10,69
Customer,CreatedDate,2023-11,56
Customer,CreatedDate,2023-12,53
Customer,CreatedDate,2024-01,52
Customer,CreatedDate,2024-02,55
Customer,CreatedDate,2024-03,51
Customer,CreatedDate,2024-04,46
Customer,CreatedDate,2024-05,57
Customer,CreatedDate,2024-06,48
Customer,CreatedDate,2024-07,60
Customer,CreatedDate,2024-08,52
Customer,CreatedDate,2024-09,46
Customer,CreatedDate,2024-10,46
Customer,CreatedDate,2024-11,58
Customer,CreatedDate,2024-12,53
Customer,CreatedDate,2025-01,38
Customer,CreatedDate,2025-02,49
Customer,CreatedDate,2025-03,53
Customer,CreatedDate,2025-04,47
Customer,CreatedDate,2025-05,59
Customer,CreatedDate,2025-06,53
Customer,CreatedDate,2025-07,70
Customer,CreatedDate,2025-08,61
Customer,CreatedDate,2025-09,47
Customer,CreatedDate,2025-10,57
Customer,CreatedDate,2025-11,54
Customer,CreatedDate,2025-12,43
Inventory,SnapshotDate,2025-12,15000
Holiday,Date,2025-01,2
Holiday,Date,2025-02,2
Holiday,Date,2025-03,7
Holiday,Date,2025-04,7
Holiday,Date,2025-05,14
Holiday,Date,2025-06,8
Holiday,Date,2025-07,5
Holiday,Date,2025-08,7
Holiday,Date,2025-09,7
Holiday,Date,2025-10,11
Holiday,Date,2025-11,7
Holiday,Date,2025-12,3
