segment_type,segment_value,decision_count,purchase_count,purchase_rate
store,STO000028,527,106,0.20113851992409867
store,STO000042,746,141,0.18900804289544235
store,STO000027,730,145,0.19863013698630136
store,STO000036,839,130,0.15494636471990464
store,STO000049,468,93,0.1987179487179487
store,STO000011,586,109,0.18600682593856654
store,STO000010,585,108,0.18461538461538463
store,STO000034,764,137,0.1793193717277487
store,STO000026,812,134,0.16502463054187191
store,STO000033,890,171,0.19213483146067414
store,STO000025,859,148,0.17229336437718276
store,STO000024,662,132,0.19939577039274925
store,STO000041,886,141,0.15914221218961624
store,STO000023,854,164,0.1920374707259953
store,STO000006,483,84,0.17391304347826086
store,STO000012,911,169,0.18551042810098792
store,STO000004,498,86,0.17269076305220885
store,STO000019,618,125,0.2022653721682848
store,STO000003,498,99,0.19879518072289157
region,REG000005,4444,829,0.18654365436543655
region,REG000010,2575,513,0.1992233009708738
region,REG000009,3129,576,0.1840843720038351
region,REG000001,1955,376,0.19232736572890025
region,REG000007,4176,764,0.18295019157088122
region,REG000008,2968,541,0.182277628032345
region,REG000004,4705,875,0.18597236981934112
region,REG000002,3502,623,0.17789834380354083
region,REG000006,4051,745,0.1839052085904715
region,REG000003,3495,650,0.1859799713876967
category,CAT000019,969,165,0.17027863777089783
category,CAT000017,860,165,0.19186046511627908
category,CAT000027,410,74,0.18048780487804877
category,CAT000029,395,83,0.21012658227848102
category,CAT000060,234,42,0.1794871794871795
category,CAT000064,833,154,0.18487394957983194
category,CAT000011,910,182,0.2
category,CAT000028,387,69,0.17829457364341086
category,CAT000062,439,87,0.19817767653758542
category,CAT000018,676,119,0.1760355029585799
category,CAT000042,479,83,0.1732776617954071
category,CAT000050,728,142,0.19505494505494506
category,CAT000025,345,75,0.21739130434782608
category,CAT000023,471,93,0.19745222929936307
category,CAT000054,254,43,0.16929133858267717
category,CAT000040,431,91,0.2111368909512761
category,CAT000030,503,80,0.15904572564612326
category,CAT000063,251,53,0.21115537848605578
category,CAT000044,473,107,0.226215644820296
category,CAT000021,860,156,0.1813953488372093
category,CAT000046,599,119,0.1986644407345576
category,CAT000075,386,74,0.19170984455958548
category,CAT000032,298,36,0.12080536912751678
category,CAT000034,515,91,0.1766990291262136
category,CAT000077,585,117,0.2
category,CAT000052,805,144,0.17888198757763976
category,CAT000066,359,45,0.12534818941504178
category,CAT000013,639,128,0.20031298904538342
category,CAT000016,692,128,0.18497109826589594
category,CAT000078,307,64,0.20846905537459284
category,CAT000015,629,116,0.18441971383147854
category,CAT000079,403,60,0.1488833746898263
category,CAT000071,153,29,0.1895424836601307
category,CAT000068,155,32,0.2064516129032258
category,CAT000051,502,97,0.19322709163346613
category,CAT000033,375,73,0.19466666666666665
category,CAT000065,902,164,0.18181818181818182
category,CAT000067,268,49,0.1828358208955224
category,CAT000069,270,57,0.2111111111111111
category,CAT000043,745,128,0.17181208053691274
category,CAT000045,721,135,0.18723994452149792
category,CAT000073,359,65,0.181058495821727
category,CAT000076,203,43,0.21182266009852216
category,CAT000047,653,103,0.15773353751914243
category,CAT000014,962,171,0.17775467775467776
category,CAT000020,501,96,0.19161676646706588
category,CAT000061,319,64,0.2006269592476489
category,CAT000036,333,49,0.14714714714714713
category,CAT000059,345,61,0.17681159420289855
category,CAT000022,639,125,0.19561815336463223
category,CAT000048,759,150,0.1976284584980237
category,CAT000057,722,133,0.18421052631578946
category,CAT000080,371,80,0.215633423180593
category,CAT000074,613,102,0.16639477977161501
category,CAT000056,284,54,0.19014084507042253
category,CAT000070,257,47,0.1828793774319066
category,CAT000038,526,104,0.19771863117870722
category,CAT000035,315,55,0.1746031746031746
category,CAT000053,188,31,0.16489361702127658
category,CAT000039,471,85,0.18046709129511676
category,CAT000072,184,40,0.21739130434782608
category,CAT000055,151,32,0.2119205298013245
category,CAT000037,588,95,0.16156462585034015
category,CAT000031,310,55,0.1774193548387097
category,CAT000058,337,74,0.2195845697329377
category,CAT000012,1003,191,0.19042871385842472
category,CAT000026,357,57,0.15966386554621848
category,CAT000049,552,123,0.22282608695652173
category,CAT000024,871,147,0.1687715269804822
category,CAT000041,611,111,0.18166939443535188
brand,BRA000127,227,38,0.16740088105726872
brand,BRA000067,139,28,0.2014388489208633
brand,BRA000137,45,6,0.13333333333333333
brand,BRA000063,430,70,0.16279069767441862
brand,BRA000147,83,12,0.14457831325301204
brand,BRA000148,247,37,0.14979757085020243
brand,BRA000128,314,63,0.20063694267515925
brand,BRA000138,149,31,0.2080536912751678
brand,BRA000082,250,42,0.168
brand,BRA000099,420,75,0.17857142857142858
brand,BRA000070,560,103,0.18392857142857144
brand,BRA000095,58,13,0.22413793103448276
brand,BRA000052,262,46,0.17557251908396945
brand,BRA000115,87,17,0.19540229885057472
brand,BRA000116,62,12,0.1935483870967742
brand,BRA000031,387,64,0.165374677002584
brand,BRA000096,95,20,0.21052631578947367
brand,BRA000009,116,20,0.1724137931034483
brand,BRA000079,464,95,0.20474137931034483
brand,BRA000090,495,97,0.19595959595959597
brand,BRA000053,360,58,0.16111111111111112
brand,BRA000075,456,102,0.2236842105263158
brand,BRA000088,230,47,0.20434782608695654
brand,BRA000057,104,8,0.07692307692307693
brand,BRA000006,419,86,0.2052505966587112
brand,BRA000076,170,20,0.11764705882352941
brand,BRA000087,30,4,0.13333333333333333
brand,BRA000058,109,27,0.24770642201834864
brand,BRA000112,237,36,0.1518987341772152
brand,BRA000083,167,27,0.16167664670658682
brand,BRA000107,245,39,0.15918367346938775
brand,BRA000108,172,32,0.18604651162790697
brand,BRA000023,86,24,0.27906976744186046
brand,BRA000013,231,47,0.20346320346320346
brand,BRA000034,245,52,0.21224489795918366
brand,BRA000043,262,36,0.13740458015267176
brand,BRA000133,268,43,0.16044776119402984
brand,BRA000123,1,0,0.0
brand,BRA000103,133,25,0.18796992481203006
brand,BRA000068,477,93,0.1949685534591195
brand,BRA000036,299,61,0.2040133779264214
brand,BRA000035,164,33,0.20121951219512196
brand,BRA000017,139,26,0.18705035971223022
brand,BRA000007,158,27,0.17088607594936708
brand,BRA000051,106,21,0.19811320754716982
brand,BRA000025,186,43,0.23118279569892472
brand,BRA000026,78,14,0.1794871794871795
brand,BRA000113,425,82,0.19294117647058823
brand,BRA000047,325,50,0.15384615384615385
brand,BRA000062,30,5,0.16666666666666666
brand,BRA000118,243,52,0.2139917695473251
brand,BRA000020,379,84,0.22163588390501318
brand,BRA000093,435,72,0.16551724137931034
brand,BRA000081,312,68,0.21794871794871795
brand,BRA000120,200,30,0.15
brand,BRA000140,313,56,0.17891373801916932
brand,BRA000003,150,20,0.13333333333333333
brand,BRA000073,93,17,0.1827956989247312
brand,BRA000039,13,1,0.07692307692307693
brand,BRA000018,398,84,0.21105527638190955
brand,BRA000029,71,18,0.2535211267605634
brand,BRA000030,80,16,0.2
brand,BRA000132,209,40,0.19138755980861244
brand,BRA000042,116,26,0.22413793103448276
brand,BRA000144,42,3,0.07142857142857142
brand,BRA000012,224,47,0.20982142857142858
brand,BRA000048,455,81,0.17802197802197803
brand,BRA000105,46,10,0.21739130434782608
brand,BRA000109,271,53,0.19557195571955718
brand,BRA000139,299,72,0.2408026755852843
brand,BRA000056,93,16,0.17204301075268819
brand,BRA000129,282,52,0.18439716312056736
brand,BRA000021,25,3,0.12
brand,BRA000055,30,7,0.23333333333333334
brand,BRA000077,204,45,0.22058823529411764
brand,BRA000149,293,46,0.15699658703071673
brand,BRA000064,323,59,0.1826625386996904
brand,BRA000092,54,6,0.1111111111111111
brand,BRA000106,227,37,0.16299559471365638
brand,BRA000085,330,62,0.18787878787878787
brand,BRA000033,352,75,0.21306818181818182
brand,BRA000011,220,45,0.20454545454545456
brand,BRA000014,12,4,0.3333333333333333
brand,BRA000097,45,8,0.17777777777777778
brand,BRA000141,304,61,0.20065789473684212
brand,BRA000098,133,26,0.19548872180451127
brand,BRA000117,15,2,0.13333333333333333
brand,BRA000102,18,5,0.2777777777777778
brand,BRA000121,440,81,0.18409090909090908
brand,BRA000131,59,10,0.1694915254237288
brand,BRA000041,178,33,0.1853932584269663
brand,BRA000086,83,17,0.20481927710843373
brand,BRA000146,407,60,0.14742014742014742
brand,BRA000145,292,51,0.17465753424657535
brand,BRA000125,649,120,0.18489984591679506
brand,BRA000065,61,13,0.21311475409836064
brand,BRA000135,54,10,0.18518518518518517
brand,BRA000136,292,59,0.20205479452054795
brand,BRA000024,30,2,0.06666666666666667
brand,BRA000126,245,42,0.17142857142857143
brand,BRA000059,182,28,0.15384615384615385
brand,BRA000008,373,72,0.19302949061662197
brand,BRA000078,78,18,0.23076923076923078
brand,BRA000054,309,48,0.1553398058252427
brand,BRA000061,87,12,0.13793103448275862
brand,BRA000084,220,42,0.19090909090909092
brand,BRA000050,427,73,0.17096018735362997
brand,BRA000002,828,160,0.1932367149758454
brand,BRA000124,345,66,0.19130434782608696
brand,BRA000134,362,73,0.20165745856353592
brand,BRA000072,282,47,0.16666666666666666
brand,BRA000044,51,6,0.11764705882352941
brand,BRA000089,96,13,0.13541666666666666
brand,BRA000080,580,92,0.15862068965517243
brand,BRA000142,244,49,0.20081967213114754
brand,BRA000022,841,136,0.16171224732461356
brand,BRA000010,630,125,0.1984126984126984
brand,BRA000032,285,57,0.2
brand,BRA000111,13,2,0.15384615384615385
brand,BRA000094,272,47,0.17279411764705882
brand,BRA000069,245,55,0.22448979591836735
brand,BRA000150,136,32,0.23529411764705882
brand,BRA000110,308,48,0.15584415584415584
brand,BRA000104,141,34,0.24113475177304963
brand,BRA000060,199,49,0.24623115577889448
brand,BRA000045,192,39,0.203125
brand,BRA000100,159,23,0.14465408805031446
brand,BRA000091,176,35,0.19886363636363635
brand,BRA000114,330,57,0.17272727272727273
brand,BRA000015,316,57,0.18037974683544303
brand,BRA000005,881,165,0.1872871736662883
brand,BRA000016,301,65,0.2159468438538206
brand,BRA000037,314,47,0.14968152866242038
brand,BRA000019,35,8,0.22857142857142856
brand,BRA000071,432,83,0.19212962962962962
brand,BRA000038,660,113,0.1712121212121212
brand,BRA000001,155,32,0.2064516129032258
brand,BRA000074,237,46,0.1940928270042194
brand,BRA000004,154,35,0.22727272727272727
brand,BRA000028,348,73,0.20977011494252873
brand,BRA000046,62,16,0.25806451612903225
brand,BRA000027,41,13,0.3170731707317073
brand,BRA000040,103,14,0.13592233009708737
brand,BRA000130,157,26,0.16560509554140126
brand,BRA000119,184,33,0.1793478260869565
brand,BRA000066,152,27,0.17763157894736842
brand,BRA000101,273,57,0.2087912087912088
brand,BRA000049,291,51,0.17525773195876287
brand,BRA000143,206,29,0.1407766990291262
brand,BRA000122,6,0,0.0
season,Summer,4845,895,0.18472652218782248
season,All,15708,2924,0.18614718614718614
season,Fall,3814,682,0.17881489250131097
season,Spring,6187,1139,0.18409568449975755
season,Winter,4446,852,0.19163292847503374
price_change_bucket,0%,5043,866,0.1717231806464406
price_change_bucket,+5% to +10%,9874,1758,0.1780433461616366
price_change_bucket,+10% to +20%,4246,845,0.19901083372585962
price_change_bucket,-5% to 0%,4282,816,0.19056515646893976
price_change_bucket,-10% to -5%,6118,1170,0.19123896698267406
price_change_bucket,-20% to -10%,836,166,0.19856459330143542
price_change_bucket,0% to +5%,4601,871,0.18930667246250815
promotion_state,ACTIVE,3052,552,0.18086500655307994
promotion_state,NONE,31948,5940,0.18592713158883184
