entity_id,decisions,covered_decisions,coverage_rate
PRO000073,1,0,0.000000
PRO000074,98,15,0.153061
PRO000075,4,0,0.000000
PRO000076,4,0,0.000000
PRO000077,47,0,0.000000
PRO000078,4,0,0.000000
PRO000079,7,0,0.000000
PRO000080,2,0,0.000000
PRO000081,8,0,0.000000
PRO000082,3,0,0.000000
PRO000083,1,0,0.000000
PRO000084,43,1,0.023255
PRO000085,3,0,0.000000
PRO000086,2,0,0.000000
PRO000087,8,1,0.125000
PRO000088,9,0,0.000000
PRO000089,19,1,0.052631
PRO000090,5,0,0.000000
PRO000091,11,2,0.181818
PRO000093,34,7,0.205882
PRO000094,1,0,0.000000
PRO000095,10,4,0.400000
PRO000096,13,0,0.000000
PRO000097,14,0,0.000000
PRO000098,22,0,0.000000
PRO000099,18,0,0.000000
PRO000100,4,0,0.000000
PRO000101,12,0,0.000000
PRO000102,13,0,0.000000
PRO000103,14,0,0.000000
PRO000104,7,0,0.000000
PRO000105,219,6,0.027397
PRO000106,5,0,0.000000
PRO000107,20,0,0.000000
PRO000108,2,0,0.000000
PRO000109,7,0,0.000000
PRO000110,10,0,0.000000
PRO000111,8,0,0.000000
PRO000112,32,4,0.125000
PRO000114,22,0,0.000000
PRO000115,15,0,0.000000
PRO000116,10,2,0.200000
PRO000117,1,0,0.000000
PRO000118,7,0,0.000000
PRO000119,19,2,0.105263
PRO000120,2,0,0.000000
PRO000121,20,0,0.000000
PRO000123,1,0,0.000000
PRO000124,4,0,0.000000
PRO000125,4,0,0.000000
PRO000126,1,0,0.000000
PRO000127,19,0,0.000000
PRO000128,3,0,0.000000
PRO000129,1,0,0.000000
PRO000131,5,0,0.000000
PRO000133,3,0,0.000000
PRO000135,46,0,0.000000
PRO000136,3,0,0.000000
PRO000137,60,1,0.016666
PRO000138,11,1,0.090909
PRO000139,1,0,0.000000
PRO000140,4,0,0.000000
PRO000141,5,0,0.000000
PRO000142,1,0,0.000000
PRO000143,21,0,0.000000
PRO000144,13,0,0.000000
PRO000145,3,0,0.000000
PRO000146,4,0,0.000000
PRO000147,1,0,0.000000
PRO000148,10,0,0.000000
PRO000149,1,0,0.000000
PRO000150,3,0,0.000000
PRO000151,3,0,0.000000
PRO000152,8,0,0.000000
PRO000153,14,0,0.000000
PRO000155,8,0,0.000000
PRO000156,13,0,0.000000
PRO000157,6,0,0.000000
PRO000158,10,2,0.200000
PRO000159,9,0,0.000000
PRO000160,17,0,0.000000
PRO000161,10,0,0.000000
PRO000162,21,0,0.000000
PRO000163,28,0,0.000000
PRO000164,1,0,0.000000
PRO000165,7,0,0.000000
PRO000166,33,0,0.000000
PRO000167,43,0,0.000000
PRO000168,1,0,0.000000
PRO000169,7,0,0.000000
PRO000170,18,3,0.166666
PRO000172,9,0,0.000000
PRO000173,10,0,0.000000
PRO000174,64,4,0.062500
PRO000175,6,0,0.000000
PRO000176,30,1,0.033333
PRO000177,3,1,0.333333
PRO000178,3,0,0.000000
PRO000180,7,0,0.000000
PRO000181,1,0,0.000000
PRO000183,3,0,0.000000
PRO000184,5,0,0.000000
PRO000185,13,0,0.000000
PRO000186,4,0,0.000000
PRO000187,3,0,0.000000
PRO000188,15,1,0.066666
PRO000189,13,0,0.000000
PRO000190,13,2,0.153846
PRO000191,8,0,0.000000
PRO000194,6,0,0.000000
PRO000195,45,2,0.044444
PRO000196,9,0,0.000000
PRO000197,10,2,0.200000
PRO000198,11,0,0.000000
PRO000199,14,0,0.000000
PRO000200,9,2,0.222222
PRO000201,3,0,0.000000
PRO000202,89,5,0.056179
PRO000203,11,0,0.000000
PRO000204,13,0,0.000000
PRO000205,4,0,0.000000
PRO000206,1,0,0.000000
PRO000207,9,0,0.000000
PRO000208,17,1,0.058823
PRO000209,16,0,0.000000
PRO000210,7,0,0.000000
PRO000211,15,1,0.066666
PRO000212,5,0,0.000000
PRO000213,3,0,0.000000
PRO000214,2,0,0.000000
PRO000215,5,0,0.000000
PRO000216,2,0,0.000000
PRO000217,48,0,0.000000
PRO000218,51,1,0.019607
PRO000220,7,0,0.000000
PRO000221,2,0,0.000000
PRO000222,31,5,0.161290
PRO000223,2,0,0.000000
PRO000224,1,0,0.000000
PRO000225,10,1,0.100000
PRO000226,37,0,0.000000
PRO000227,17,2,0.117647
PRO000228,4,0,0.000000
PRO000229,58,0,0.000000
PRO000230,2,0,0.000000
PRO000231,6,0,0.000000
PRO000232,6,0,0.000000
PRO000233,3,0,0.000000
PRO000234,9,0,0.000000
PRO000236,2,0,0.000000
PRO000237,8,0,0.000000
PRO000238,3,0,0.000000
PRO000239,12,0,0.000000
PRO000240,7,0,0.000000
PRO000241,3,0,0.000000
PRO000242,3,0,0.000000
PRO000243,4,1,0.250000
PRO000244,35,0,0.000000
PRO000245,26,1,0.038461
PRO000247,179,8,0.044692
PRO000248,3,0,0.000000
PRO000249,9,2,0.222222
PRO000254,8,0,0.000000
PRO000256,4,0,0.000000
PRO000257,31,1,0.032258
PRO000258,6,0,0.000000
PRO000259,20,0,0.000000
PRO000260,3,0,0.000000
PRO000261,6,0,0.000000
PRO000262,9,1,0.111111
PRO000263,1,0,0.000000
PRO000264,1,0,0.000000
PRO000265,5,0,0.000000
PRO000266,34,1,0.029411
PRO000267,3,0,0.000000
PRO000268,8,0,0.000000
PRO000270,7,0,0.000000
PRO000271,6,0,0.000000
PRO000272,12,0,0.000000
PRO000273,4,0,0.000000
PRO000274,30,0,0.000000
PRO000275,10,0,0.000000
PRO000276,11,0,0.000000
PRO000278,4,0,0.000000
PRO000279,13,0,0.000000
PRO000281,8,0,0.000000
PRO000282,1,0,0.000000
PRO000284,4,0,0.000000
PRO000286,6,2,0.333333
PRO000287,1,0,0.000000
PRO000289,6,0,0.000000
PRO000290,1,0,0.000000
PRO000292,4,0,0.000000
PRO000293,8,0,0.000000
PRO000294,6,0,0.000000
PRO000295,29,0,0.000000
PRO000296,12,2,0.166666
PRO000298,34,3,0.088235
PRO000299,5,0,0.000000
PRO000300,2,0,0.000000
PRO000301,4,2,0.500000
PRO000302,4,0,0.000000
PRO000303,6,2,0.333333
PRO000304,1,0,0.000000
PRO000305,3,0,0.000000
PRO000306,29,0,0.000000
PRO000307,1,0,0.000000
PRO000309,6,0,0.000000
PRO000310,10,0,0.000000
PRO000311,2,0,0.000000
PRO000312,4,0,0.000000
PRO000313,24,6,0.250000
PRO000314,15,0,0.000000
PRO000317,1,0,0.000000
PRO000318,13,1,0.076923
PRO000320,11,0,0.000000
PRO000321,7,0,0.000000
PRO000322,20,0,0.000000
PRO000323,22,1,0.045454
PRO000324,10,0,0.000000
PRO000325,7,0,0.000000
PRO000326,12,1,0.083333
PRO000327,52,0,0.000000
PRO000328,9,0,0.000000
PRO000329,5,0,0.000000
PRO000330,9,0,0.000000
PRO000331,4,0,0.000000
PRO000332,2,0,0.000000
PRO000334,12,0,0.000000
PRO000335,15,0,0.000000
PRO000336,13,0,0.000000
PRO000337,1,0,0.000000
PRO000338,4,0,0.000000
PRO000339,3,1,0.333333
PRO000340,22,2,0.090909
PRO000341,2,0,0.000000
PRO000342,17,0,0.000000
PRO000343,2,0,0.000000
PRO000344,60,0,0.000000
PRO000345,3,0,0.000000
PRO000346,5,0,0.000000
PRO000347,3,0,0.000000
PRO000348,5,0,0.000000
PRO000349,12,0,0.000000
PRO000350,11,0,0.000000
PRO000351,9,1,0.111111
PRO000352,7,0,0.000000
PRO000353,3,0,0.000000
PRO000354,3,0,0.000000
PRO000355,7,0,0.000000
PRO000356,5,0,0.000000
PRO000357,6,0,0.000000
PRO000358,2,0,0.000000
PRO000359,4,1,0.250000
PRO000360,106,11,0.103773
PRO000362,1,0,0.000000
PRO000363,9,0,0.000000
PRO000364,19,0,0.000000
PRO000365,5,1,0.200000
PRO000366,3,0,0.000000
PRO000367,19,0,0.000000
PRO000368,23,1,0.043478
PRO000369,4,0,0.000000
PRO000370,33,3,0.090909
PRO000371,6,0,0.000000
PRO000372,3,0,0.000000
PRO000373,9,0,0.000000
PRO000374,13,0,0.000000
PRO000375,1,0,0.000000
PRO000376,8,0,0.000000
PRO000377,10,0,0.000000
PRO000379,21,0,0.000000
PRO000380,37,2,0.054054
PRO000382,19,1,0.052631
PRO000383,3,0,0.000000
PRO000384,15,3,0.200000
PRO000385,3,0,0.000000
PRO000386,2,0,0.000000
PRO000387,11,0,0.000000
PRO000388,1,0,0.000000
PRO000389,7,0,0.000000
PRO000390,29,0,0.000000
PRO000391,10,0,0.000000
PRO000392,4,0,0.000000
PRO000393,7,0,0.000000
PRO000394,4,0,0.000000
PRO000395,1,0,0.000000
PRO000396,3,0,0.000000
PRO000397,1,0,0.000000
PRO000398,2,0,0.000000
PRO000399,11,0,0.000000
PRO000400,2,0,0.000000
PRO000402,3,0,0.000000
PRO000403,8,0,0.000000
PRO000404,2,0,0.000000
PRO000405,110,14,0.127272
PRO000406,2,0,0.000000
PRO000407,9,0,0.000000
PRO000408,27,4,0.148148
PRO000409,7,0,0.000000
PRO000410,18,0,0.000000
PRO000411,2,0,0.000000
PRO000412,16,0,0.000000
PRO000413,9,0,0.000000
PRO000414,3,0,0.000000
PRO000415,189,24,0.126984
PRO000416,22,0,0.000000
PRO000417,28,0,0.000000
PRO000418,9,0,0.000000
PRO000419,10,0,0.000000
PRO000420,13,3,0.230769
PRO000421,3,0,0.000000
PRO000422,5,2,0.400000
PRO000423,23,0,0.000000
PRO000424,15,0,0.000000
PRO000425,24,1,0.041666
PRO000426,15,3,0.200000
PRO000427,21,1,0.047619
PRO000428,5,0,0.000000
PRO000429,3,0,0.000000
PRO000430,3,0,0.000000
PRO000431,10,0,0.000000
PRO000433,3,0,0.000000
PRO000434,12,0,0.000000
PRO000435,45,3,0.066666
PRO000436,8,0,0.000000
PRO000437,11,0,0.000000
PRO000439,2,0,0.000000
PRO000440,126,1,0.007936
PRO000441,15,0,0.000000
PRO000442,9,0,0.000000
PRO000443,30,0,0.000000
PRO000444,5,0,0.000000
PRO000445,12,0,0.000000
PRO000446,2,0,0.000000
PRO000447,26,0,0.000000
PRO000448,3,0,0.000000
PRO000449,29,0,0.000000
PRO000450,1,0,0.000000
PRO000451,3,0,0.000000
PRO000452,16,1,0.062500
PRO000453,4,0,0.000000
PRO000454,2,1,0.500000
PRO000455,4,0,0.000000
PRO000456,27,1,0.037037
PRO000457,15,0,0.000000
PRO000458,11,0,0.000000
PRO000459,14,0,0.000000
PRO000460,5,0,0.000000
PRO000461,2,0,0.000000
PRO000462,15,3,0.200000
PRO000463,3,0,0.000000
PRO000464,2,0,0.000000
PRO000465,9,0,0.000000
PRO000466,30,2,0.066666
PRO000467,73,5,0.068493
PRO000468,7,0,0.000000
PRO000469,10,0,0.000000
PRO000470,1,0,0.000000
PRO000471,7,0,0.000000
PRO000472,4,0,0.000000
PRO000474,1,0,0.000000
PRO000475,2,0,0.000000
PRO000476,27,1,0.037037
PRO000477,16,0,0.000000
PRO000478,2,0,0.000000
PRO000479,10,2,0.200000
PRO000481,16,0,0.000000
PRO000482,178,1,0.005617
PRO000483,33,0,0.000000
PRO000484,3,0,0.000000
PRO000485,5,0,0.000000
PRO000487,2,0,0.000000
PRO000488,1,0,0.000000
PRO000489,1,0,0.000000
PRO000490,24,1,0.041666
PRO000491,4,0,0.000000
PRO000492,3,0,0.000000
PRO000493,27,0,0.000000
PRO000494,8,0,0.000000
PRO000495,26,1,0.038461
PRO000496,3,0,0.000000
PRO000497,9,0,0.000000
PRO000498,8,0,0.000000
PRO000500,2,0,0.000000
PRO000501,3,2,0.666666
PRO000502,4,0,0.000000
PRO000504,5,0,0.000000
PRO000505,4,0,0.000000
PRO000506,1,0,0.000000
PRO000507,7,0,0.000000
PRO000508,204,5,0.024509
PRO000509,6,0,0.000000
PRO000510,8,2,0.250000
PRO000512,3,0,0.000000
PRO000514,15,0,0.000000
PRO000515,3,0,0.000000
PRO000516,7,0,0.000000
PRO000517,4,0,0.000000
PRO000518,345,89,0.257971
PRO000519,6,0,0.000000
PRO000520,2,0,0.000000
PRO000521,15,2,0.133333
PRO000522,7,0,0.000000
PRO000523,13,0,0.000000
PRO000524,90,3,0.033333
PRO000525,5,0,0.000000
PRO000526,5,0,0.000000
PRO000527,15,2,0.133333
PRO000528,13,0,0.000000
PRO000529,5,0,0.000000
PRO000530,5,0,0.000000
PRO000531,2,0,0.000000
PRO000532,1,1,1.000000
PRO000533,50,1,0.020000
PRO000534,3,0,0.000000
PRO000535,2,0,0.000000
PRO000536,5,2,0.400000
PRO000537,8,0,0.000000
PRO000538,10,1,0.100000
PRO000539,10,0,0.000000
PRO000541,19,0,0.000000
PRO000542,5,0,0.000000
PRO000543,21,2,0.095238
PRO000544,56,0,0.000000
PRO000545,2,0,0.000000
PRO000546,95,3,0.031578
PRO000547,32,0,0.000000
PRO000548,6,0,0.000000
PRO000549,9,0,0.000000
PRO000550,37,6,0.162162
PRO000551,8,0,0.000000
PRO000552,15,0,0.000000
PRO000553,13,0,0.000000
PRO000554,10,0,0.000000
PRO000555,17,0,0.000000
PRO000556,5,0,0.000000
PRO000557,8,0,0.000000
PRO000558,3,0,0.000000
PRO000559,32,0,0.000000
PRO000560,6,0,0.000000
PRO000561,15,0,0.000000
PRO000562,8,0,0.000000
PRO000563,15,0,0.000000
PRO000564,7,0,0.000000
PRO000565,19,0,0.000000
PRO000566,17,0,0.000000
PRO000567,20,1,0.050000
PRO000568,3,0,0.000000
PRO000569,2,0,0.000000
PRO000570,10,0,0.000000
PRO000571,52,5,0.096153
PRO000572,7,0,0.000000
PRO000574,5,0,0.000000
PRO000575,14,0,0.000000
PRO000576,26,1,0.038461
PRO000577,7,0,0.000000
PRO000578,4,0,0.000000
PRO000579,12,0,0.000000
PRO000580,46,5,0.108695
PRO000581,10,1,0.100000
PRO000582,5,0,0.000000
PRO000583,8,0,0.000000
PRO000585,6,0,0.000000
PRO000586,3,0,0.000000
PRO000587,16,0,0.000000
PRO000588,1,0,0.000000
PRO000589,15,1,0.066666
PRO000590,9,0,0.000000
PRO000591,9,0,0.000000
PRO000592,11,0,0.000000
PRO000593,96,1,0.010416
PRO000594,3,0,0.000000
PRO000595,13,0,0.000000
PRO000596,5,0,0.000000
PRO000597,5,0,0.000000
PRO000599,12,0,0.000000
PRO000600,5,0,0.000000
PRO000601,10,0,0.000000
PRO000602,11,2,0.181818
PRO000603,28,0,0.000000
PRO000604,69,1,0.014492
PRO000605,2,0,0.000000
PRO000606,2,0,0.000000
PRO000607,37,1,0.027027
PRO000608,4,0,0.000000
PRO000609,11,0,0.000000
PRO000610,3,0,0.000000
PRO000611,11,0,0.000000
PRO000612,4,0,0.000000
PRO000613,2,0,0.000000
PRO000614,6,0,0.000000
PRO000615,38,0,0.000000
PRO000616,42,2,0.047619
PRO000617,8,0,0.000000
PRO000618,72,6,0.083333
PRO000619,12,0,0.000000
PRO000620,1,0,0.000000
PRO000621,7,0,0.000000
PRO000622,13,2,0.153846
PRO000623,10,1,0.100000
PRO000624,4,0,0.000000
PRO000625,1,0,0.000000
PRO000626,2,0,0.000000
PRO000627,4,0,0.000000
PRO000628,102,4,0.039215
PRO000629,6,1,0.166666
PRO000630,171,5,0.029239
PRO000631,3,0,0.000000
PRO000632,3,0,0.000000
PRO000633,58,5,0.086206
PRO000634,3,0,0.000000
PRO000635,14,2,0.142857
PRO000636,1,0,0.000000
PRO000637,2,0,0.000000
PRO000638,20,0,0.000000
PRO000639,24,0,0.000000
PRO000642,11,0,0.000000
PRO000643,26,0,0.000000
PRO000644,5,3,0.600000
PRO000645,2,0,0.000000
PRO000646,5,0,0.000000
PRO000647,3,0,0.000000
PRO000648,25,0,0.000000
PRO000649,5,0,0.000000
PRO000650,6,0,0.000000
PRO000651,1,0,0.000000
PRO000652,6,0,0.000000
PRO000653,12,1,0.083333
PRO000654,8,0,0.000000
PRO000655,15,0,0.000000
PRO000658,7,0,0.000000
PRO000659,4,0,0.000000
PRO000660,6,0,0.000000
PRO000661,5,0,0.000000
PRO000662,8,1,0.125000
PRO000663,36,0,0.000000
PRO000664,17,0,0.000000
PRO000665,8,0,0.000000
PRO000666,5,0,0.000000
PRO000667,4,0,0.000000
PRO000668,40,8,0.200000
PRO000669,9,1,0.111111
PRO000670,3,0,0.000000
PRO000671,11,0,0.000000
PRO000672,22,0,0.000000
PRO000673,6,0,0.000000
PRO000674,3,0,0.000000
PRO000675,1,0,0.000000
PRO000676,15,2,0.133333
PRO000677,3,0,0.000000
PRO000678,5,0,0.000000
PRO000679,2,0,0.000000
PRO000680,5,0,0.000000
PRO000681,7,1,0.142857
PRO000682,2,0,0.000000
PRO000683,92,0,0.000000
PRO000684,3,0,0.000000
PRO000685,18,0,0.000000
PRO000686,8,0,0.000000
PRO000687,3,1,0.333333
PRO000688,2,0,0.000000
PRO000689,1,0,0.000000
PRO000690,10,0,0.000000
PRO000691,8,0,0.000000
PRO000692,3,0,0.000000
PRO000693,30,0,0.000000
PRO000694,4,0,0.000000
PRO000695,2,0,0.000000
PRO000696,6,0,0.000000
PRO000697,4,0,0.000000
PRO000698,14,2,0.142857
PRO000699,2,0,0.000000
PRO000700,3,0,0.000000
PRO000701,24,2,0.083333
PRO000702,5,0,0.000000
PRO000704,2,0,0.000000
PRO000705,7,1,0.142857
PRO000706,12,0,0.000000
PRO000707,9,0,0.000000
PRO000708,13,0,0.000000
PRO000709,1,0,0.000000
PRO000710,4,0,0.000000
PRO000711,1,0,0.000000
PRO000712,4,0,0.000000
PRO000714,3,0,0.000000
PRO000715,3,0,0.000000
PRO000717,17,0,0.000000
PRO000718,10,1,0.100000
PRO000719,10,0,0.000000
PRO000720,7,0,0.000000
PRO000721,17,0,0.000000
PRO000722,5,0,0.000000
PRO000723,15,0,0.000000
PRO000724,5,0,0.000000
PRO000726,7,2,0.285714
PRO000727,38,0,0.000000
PRO000728,3,0,0.000000
PRO000729,5,0,0.000000
PRO000730,181,10,0.055248
PRO000731,228,23,0.100877
PRO000732,8,0,0.000000
PRO000733,2,0,0.000000
PRO000734,6,0,0.000000
PRO000735,13,0,0.000000
PRO000736,65,2,0.030769
PRO000737,11,0,0.000000
PRO000738,4,0,0.000000
PRO000739,40,1,0.025000
PRO000740,14,5,0.357142
PRO000741,11,0,0.000000
PRO000742,5,0,0.000000
PRO000743,1,0,0.000000
PRO000745,12,0,0.000000
PRO000746,11,0,0.000000
PRO000747,5,0,0.000000
PRO000748,3,0,0.000000
PRO000749,5,0,0.000000
PRO000750,2,0,0.000000
PRO000751,2,0,0.000000
PRO000752,13,0,0.000000
PRO000753,27,0,0.000000
PRO000754,8,1,0.125000
PRO000755,16,0,0.000000
PRO000756,3,0,0.000000
PRO000757,15,0,0.000000
PRO000758,2,0,0.000000
PRO000759,4,0,0.000000
PRO000760,10,1,0.100000
PRO000761,7,0,0.000000
PRO000762,15,2,0.133333
PRO000763,3,0,0.000000
PRO000764,7,1,0.142857
PRO000767,6,0,0.000000
PRO000768,8,0,0.000000
PRO000769,3,0,0.000000
PRO000770,1,0,0.000000
PRO000771,2,0,0.000000
PRO000772,2,0,0.000000
PRO000773,5,0,0.000000
PRO000774,1,0,0.000000
PRO000775,2,0,0.000000
PRO000776,4,0,0.000000
PRO000777,4,0,0.000000
PRO000778,6,0,0.000000
PRO000779,6,0,0.000000
PRO000782,9,2,0.222222
PRO000783,2,0,0.000000
PRO000784,10,0,0.000000
PRO000786,2,0,0.000000
PRO000787,6,0,0.000000
PRO000788,2,0,0.000000
PRO000789,8,0,0.000000
PRO000790,6,1,0.166666
PRO000793,2,0,0.000000
PRO000795,5,0,0.000000
PRO000796,1,0,0.000000
PRO000797,37,0,0.000000
PRO000798,16,0,0.000000
PRO000799,3,0,0.000000
PRO000800,3,0,0.000000
PRO000802,3,1,0.333333
PRO000803,10,1,0.100000
PRO000804,7,0,0.000000
PRO000805,1,0,0.000000
PRO000806,1,0,0.000000
PRO000807,14,1,0.071428
PRO000808,2,0,0.000000
PRO000809,6,0,0.000000
PRO000810,1,0,0.000000
PRO000811,33,0,0.000000
PRO000812,8,0,0.000000
PRO000813,72,4,0.055555
PRO000814,21,2,0.095238
PRO000815,4,0,0.000000
PRO000816,3,0,0.000000
PRO000817,4,0,0.000000
PRO000818,1,0,0.000000
PRO000819,13,0,0.000000
PRO000821,2,0,0.000000
PRO000822,109,1,0.009174
PRO000823,3,0,0.000000
PRO000824,5,0,0.000000
PRO000825,1,0,0.000000
PRO000826,6,0,0.000000
PRO000827,5,0,0.000000
PRO000829,8,0,0.000000
PRO000831,21,1,0.047619
PRO000832,1,0,0.000000
PRO000833,2,0,0.000000
PRO000834,5,0,0.000000
PRO000835,18,0,0.000000
PRO000836,4,0,0.000000
PRO000837,25,3,0.120000
PRO000838,5,0,0.000000
PRO000839,2,0,0.000000
PRO000840,20,1,0.050000
PRO000841,4,0,0.000000
PRO000842,1,0,0.000000
PRO000843,3,0,0.000000
PRO000844,4,0,0.000000
PRO000845,7,0,0.000000
PRO000846,3,1,0.333333
PRO000847,4,0,0.000000
PRO000848,3,0,0.000000
PRO000849,2,0,0.000000
PRO000850,1,0,0.000000
PRO000851,2,0,0.000000
PRO000852,3,0,0.000000
PRO000853,14,0,0.000000
PRO000854,3,0,0.000000
PRO000855,2,0,0.000000
PRO000856,2,0,0.000000
PRO000857,3,0,0.000000
PRO000858,5,0,0.000000
PRO000859,3,0,0.000000
PRO000861,25,0,0.000000
PRO000862,4,0,0.000000
PRO000863,65,1,0.015384
PRO000864,17,0,0.000000
PRO000865,5,0,0.000000
PRO000866,2,0,0.000000
PRO000868,4,0,0.000000
PRO000870,2,0,0.000000
PRO000871,23,0,0.000000
PRO000872,2,0,0.000000
PRO000873,12,0,0.000000
PRO000874,7,0,0.000000
PRO000875,3,0,0.000000
PRO000877,1,1,1.000000
PRO000878,6,3,0.500000
PRO000879,17,1,0.058823
PRO000880,6,0,0.000000
PRO000881,5,0,0.000000
PRO000882,4,0,0.000000
PRO000883,5,0,0.000000
PRO000884,8,0,0.000000
PRO000885,3,0,0.000000
PRO000887,2,0,0.000000
PRO000888,38,2,0.052631
PRO000889,11,0,0.000000
PRO000890,2,0,0.000000
PRO000891,3,0,0.000000
PRO000892,2,0,0.000000
PRO000893,2,0,0.000000
PRO000894,10,2,0.200000
PRO000895,3,0,0.000000
PRO000896,2,0,0.000000
PRO000897,6,1,0.166666
PRO000898,2,0,0.000000
PRO000899,1,0,0.000000
PRO000900,6,0,0.000000
PRO000901,2,0,0.000000
PRO000902,12,0,0.000000
PRO000903,7,0,0.000000
PRO000904,3,0,0.000000
PRO000905,5,0,0.000000
PRO000906,29,0,0.000000
PRO000907,3,0,0.000000
PRO000908,19,0,0.000000
PRO000909,34,0,0.000000
PRO000911,1,0,0.000000
PRO000912,4,0,0.000000
PRO000916,7,0,0.000000
PRO000917,2,0,0.000000
PRO000918,6,0,0.000000
PRO000919,5,3,0.600000
PRO000920,46,3,0.065217
PRO000922,17,2,0.117647
PRO000923,8,0,0.000000
PRO000924,20,0,0.000000
PRO000925,23,0,0.000000
PRO000926,7,0,0.000000
PRO000927,9,0,0.000000
PRO000928,3,0,0.000000
PRO000929,4,0,0.000000
PRO000930,2,0,0.000000
PRO000932,3,0,0.000000
PRO000934,2,0,0.000000
PRO000935,6,0,0.000000
PRO000936,5,3,0.600000
PRO000937,3,0,0.000000
PRO000939,27,0,0.000000
PRO000940,7,0,0.000000
PRO000941,4,1,0.250000
PRO000942,15,0,0.000000
PRO000943,3,0,0.000000
PRO000944,3,0,0.000000
PRO000945,22,0,0.000000
PRO000946,3,0,0.000000
PRO000947,5,0,0.000000
PRO000948,21,2,0.095238
PRO000952,7,0,0.000000
PRO000953,1,0,0.000000
PRO000954,9,0,0.000000
PRO000956,25,0,0.000000
PRO000958,3,0,0.000000
PRO000959,3,0,0.000000
PRO000960,10,0,0.000000
PRO000961,5,0,0.000000
PRO000962,4,0,0.000000
PRO000963,29,2,0.068965
PRO000964,2,0,0.000000
PRO000965,1,0,0.000000
PRO000969,6,0,0.000000
PRO000970,9,0,0.000000
PRO000971,2,0,0.000000
PRO000972,13,0,0.000000
PRO000973,16,1,0.062500
PRO000974,1,0,0.000000
PRO000975,8,0,0.000000
PRO000976,2,0,0.000000
PRO000977,24,0,0.000000
PRO000978,18,0,0.000000
PRO000979,2,0,0.000000
PRO000981,3,0,0.000000
PRO000982,3,0,0.000000
PRO000983,2,0,0.000000
PRO000984,1,0,0.000000
PRO000985,3,0,0.000000
PRO000986,6,1,0.166666
PRO000987,6,0,0.000000
PRO000988,22,1,0.045454
PRO000989,2,0,0.000000
PRO000990,6,1,0.166666
PRO000991,18,0,0.000000
PRO000993,4,0,0.000000
PRO000994,7,0,0.000000
PRO000995,18,0,0.000000
PRO000996,6,0,0.000000
PRO000997,4,0,0.000000
PRO000998,12,0,0.000000
PRO000999,10,1,0.100000
PRO001000,1,0,0.000000
PRO001001,17,0,0.000000
PRO001002,3,0,0.000000
PRO001003,10,0,0.000000
PRO001004,3,0,0.000000
PRO001005,9,0,0.000000
PRO001006,1,0,0.000000
PRO001007,6,0,0.000000
PRO001008,4,0,0.000000
PRO001009,2,0,0.000000
PRO001010,10,0,0.000000
PRO001011,95,11,0.115789
PRO001013,10,0,0.000000
PRO001014,3,0,0.000000
PRO001015,3,0,0.000000
PRO001016,35,0,0.000000
PRO001017,1,0,0.000000
PRO001018,3,0,0.000000
PRO001019,3,0,0.000000
PRO001021,3,0,0.000000
PRO001023,4,0,0.000000
PRO001024,3,0,0.000000
PRO001025,9,0,0.000000
PRO001026,8,0,0.000000
PRO001027,9,0,0.000000
PRO001028,5,0,0.000000
PRO001029,7,0,0.000000
PRO001032,19,0,0.000000
PRO001033,7,0,0.000000
PRO001034,1,0,0.000000
