feature_name,feature_group,row_count,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,nan_count,pos_inf_count,neg_inf_count
product_store_sales_30d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.5095142857142857,0.0,3.0,6.0,20.0,1.3201821491516903,0,0,0
product_region_sales_7d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.15082857142857142,0.0,1.0,3.0,13.0,0.6156709689767874,0,0,0
product_region_sales_14d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.29282857142857144,0.0,2.0,4.0,13.0,0.900092058330362,0,0,0
product_region_sales_30d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.6256857142857143,1.0,3.0,7.0,20.0,1.4715308699529512,0,0,0
product_sales_7d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.5714571428571429,1.0,3.0,7.0,19.0,1.4024395651426667,0,0,0
product_sales_14d,sales,35000,0.0,0.0,0.0,0.0,0.0,1.1196857142857144,1.0,5.0,12.0,26.0,2.3087884054682206,0,0,0
product_sales_30d,sales,35000,0.0,0.0,0.0,0.0,1.0,2.354,3.0,9.0,23.0,42.0,4.183743846297067,0,0,0
product_sales_60d,sales,35000,0.0,0.0,0.0,0.0,2.0,4.536714285714286,5.0,16.0,39.0,69.0,7.415259984157877,0,0,0
product_sales_90d,sales,35000,0.0,0.0,0.0,1.0,3.0,6.594514285714285,8.0,23.0,57.0,94.0,10.382500864081498,0,0,0
category_store_sales_7d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.32242857142857145,0.0,2.0,4.0,11.0,0.8337932866711983,0,0,0
category_store_sales_14d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.6360571428571429,1.0,3.0,6.0,12.0,1.2631264599704777,0,0,0
category_store_sales_30d,sales,35000,0.0,0.0,0.0,0.0,0.0,1.3600571428571429,2.0,6.0,9.0,23.0,2.0885850294651935,0,0,0
category_sales_7d,sales,35000,0.0,0.0,1.0,3.0,6.0,10.709714285714286,16.0,32.0,43.0,68.0,10.319557987686512,0,0,0
category_sales_14d,sales,35000,0.0,1.0,3.0,8.0,13.0,21.2368,33.0,61.0,76.01000000000204,112.0,19.366744251496097,0,0,0
category_sales_30d,sales,35000,0.0,3.0,8.0,17.0,27.0,45.084942857142856,70.0,125.0,157.0,186.0,39.280359492421624,0,0,0
product_sales_velocity_7d,sales,35000,0.0,0.0,0.0,0.0,0.0,0.08163673469387754,0.14285714285714285,0.42857142857142855,1.0,2.7142857142857144,0.20034850930609518,0,0,0
product_sales_velocity_30d,sales,35000,0.0,0.0,0.0,0.0,0.03333333333333333,0.07846666666666666,0.1,0.3,0.7666666666666667,1.4,0.13945812820990222,0,0,0
product_sales_velocity_90d,sales,35000,0.0,0.0,0.0,0.011111111111111112,0.03333333333333333,0.07327238095238096,0.08888888888888889,0.25555555555555554,0.6333333333333333,1.0444444444444445,0.11536112071201665,0,0,0
product_sales_velocity_ratio_7d_30d,sales,35000,0.0,0.0,0.0,0.0,0.0,1.0536542536539806,1.8367346938775508,4.285714285714286,4.285714285714286,4.2857142857142865,1.4891065365349399,14711,0,0
days_since_last_product_sale,sales,35000,1.0,1.0,1.0,7.0,20.0,41.08940902161241,55.0,156.0,230.0,343.0,51.01492498570916,1547,0,0
competitor_price,optional_competitor,35000,5.84,12.9629,28.94,66.18,126.27000000000001,146.23353120925685,198.83249999999998,331.71,504.84,668.58,103.1134078562446,10456,0,0
competitor_price_exact_channel,optional_competitor,35000,10.66,12.94,26.48,43.38,82.81,115.18595476294041,161.65,300.782,443.17279999999994,632.0,93.36481757516339,32701,0,0
competitor_price_region_fallback,optional_competitor,35000,5.84,12.94,28.83,57.18,113.74,134.61825732762242,186.495,318.56399999999996,485.62460000000004,632.0,98.74797050763524,23093,0,0
competitor_price_product_fallback,optional_competitor,35000,5.84,13.18,28.714500000000005,66.06,125.92,146.10065392764017,198.865,332.46,505.6284999999997,668.58,103.01227410716318,10456,0,0
competitor_price_available,optional_competitor,35000,0.0,0.0,0.0,0.0,1.0,0.7012571428571429,1.0,1.0,1.0,1.0,0.4577068520887355,0,0,0
competitor_price_age_days,optional_competitor,35000,3.472222222222222e-05,0.1292271990740741,0.8893674768518519,4.903677662037037,11.084010416666667,12.370610097153563,19.24794560185185,27.54699652777777,29.449538078703704,29.999826388888888,8.56578437617147,10456,0,0
price_vs_competitor_pct,optional_competitor,35000,-0.3997370151216305,-0.22518524071676543,-0.16761063438874976,-0.06765801273393035,0.011311710168695914,0.019911180958808155,0.09868120754630859,0.2352502466651253,0.33618387674465067,0.6903002974191691,0.12355913634371034,10456,0,0
product_views_1h,behavior,35000,0.0,0.0,0.0,1.0,1.0,0.7810285714285714,1.0,1.0,2.0,3.0,0.461110552948874,0,0,0
product_views_24h,behavior,35000,0.0,0.0,0.0,1.0,1.0,0.8242,1.0,1.0,2.0,4.0,0.45347239953811647,0,0,0
product_views_168h,behavior,35000,0.0,0.0,0.0,1.0,1.0,0.8726857142857143,1.0,2.0,3.0,9.0,0.5757650200970418,0,0,0
product_views_720h,behavior,35000,0.0,0.0,0.0,1.0,1.0,1.0385142857142857,1.0,2.0,6.0,23.0,1.2171404748467631,0,0,0
cart_additions_1h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.27,1.0,1.0,1.0,2.0,0.4481868232907217,0,0,0
cart_additions_24h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.27945714285714285,1.0,1.0,1.0,3.0,0.4548038725087767,0,0,0
cart_additions_168h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.29154285714285716,1.0,1.0,1.0,5.0,0.4741035657115523,0,0,0
cart_additions_720h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.32774285714285717,1.0,1.0,2.0,8.0,0.5564032886242107,0,0,0
search_clicks_1h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.3000285714285714,1.0,1.0,1.0,1.0,0.458270038029001,0,0,0
search_clicks_24h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.30934285714285714,1.0,1.0,1.0,2.0,0.46284045031628296,0,0,0
search_clicks_168h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.3182857142857143,1.0,1.0,1.0,4.0,0.4754035020862997,0,0,0
search_clicks_720h,behavior,35000,0.0,0.0,0.0,0.0,0.0,0.3498,1.0,1.0,2.0,7.0,0.5434913220492643,0,0,0
CategoryAffinityScore,conditional_customer,35000,0.55004,0.55702,0.57363,0.6594,0.76816,0.767315972,0.87257,0.95728,0.97553,0.97999,0.12273407842010449,0,0,0
BrandAffinityScore,conditional_customer,35000,0.50009,0.50104,0.51668,0.60211,0.71851,0.7181769257142857,0.828415,0.93024,0.94362,0.95,0.1311947756638423,0,0,0
holiday_sales_impact_factor,holiday_weather,35000,0.85,0.87,0.98,1.1,1.25,1.3728206388206385,1.42,2.75,2.75,2.75,0.45001294523185703,32965,0,0
weather_temperature,holiday_weather,35000,15.0,21.0,29.0,51.0,65.0,63.501485714285714,77.0,92.0,102.0,113.0,18.899656779002143,0,0,0
weather_precipitation,holiday_weather,35000,0.0,0.0,0.0,0.0,0.0,0.20958457142857143,0.0,1.43,1.73,1.8,0.4579808841821293,0,0,0
